Path,Size (KB),Resolution,Color Type,Label,Usage
F0/a9966.jpg,27.9736328125,640 x 480,Grayscale,F0,Training
F0/a2930.jpg,26.84375,640 x 480,Grayscale,F0,Training
F0/a766.jpg,23.8349609375,640 x 480,Grayscale,F0,Training
F0/a8008.jpg,28.24609375,640 x 480,Grayscale,F0,Training
F2/ct4-86.png,611.8779296875,449 x 464,RGB,F2,Training
F1/a6.jpg,27.216796875,640 x 480,Grayscale,F1,Training
F1/ct2-31.png,611.8779296875,449 x 464,RGB,F1,Training
F3/ct9-25.png,611.8779296875,449 x 464,RGB,F3,Training
F4/f17.jpg,24.8876953125,640 x 480,Grayscale,F4,Training
F1/D2533.jpg,14.6240234375,640 x 480,Grayscale,F1,Training
F4/p3037.jpg,27.46875,640 x 480,Grayscale,F4,Training
F0/h4.jpg,30.201171875,640 x 480,Grayscale,F0,Training
F4/f23.jpg,25.390625,640 x 480,Grayscale,F4,Training
F4/f4216.jpg,25.509765625,640 x 480,Grayscale,F4,Training
F1/l7495.jpg,611.8779296875,449 x 464,RGB,F1,Training
F0/a7737.jpg,26.4052734375,640 x 480,Grayscale,F0,Training
F4/S8240.jpg,27.955078125,640 x 480,Grayscale,F4,Training
F3/s2286.jpg,611.8779296875,449 x 464,RGB,F3,Training
F0/a8988.jpg,23.46875,640 x 480,Grayscale,F0,Training
F4/i7728.jpg,26.275390625,640 x 480,Grayscale,F4,Training
F0/k18.jpg,28.1357421875,640 x 480,Grayscale,F0,Training
F1/h6158.jpg,611.8779296875,449 x 464,RGB,F1,Training
F3/R6737.jpg,611.8779296875,449 x 464,RGB,F3,Training
F1/P435.jpg,23.814453125,640 x 480,Grayscale,F1,Training
F0/a6526.jpg,24.232421875,640 x 480,Grayscale,F0,Training
F4/f32.jpg,23.4609375,640 x 480,Grayscale,F4,Training
F0/a9739.jpg,26.4052734375,640 x 480,Grayscale,F0,Training
F3/W5624.jpg,611.8779296875,449 x 464,RGB,F3,Training
F4/T6589.jpg,22.298828125,640 x 480,Grayscale,F4,Training
F3/ct9-56.png,611.8779296875,449 x 464,RGB,F3,Training
F0/a724.jpg,28.966796875,640 x 480,Grayscale,F0,Training
F4/l5437.jpg,23.357421875,640 x 480,Grayscale,F4,Training
F4/x5146.jpg,23.623046875,640 x 480,Grayscale,F4,Training
F0/h2.jpg,31.4794921875,640 x 480,Grayscale,F0,Training
F4/V6302.jpg,19.63671875,640 x 480,Grayscale,F4,Training
F0/a7300.jpg,24.6455078125,640 x 480,Grayscale,F0,Training
F2/j9847.jpg,611.8779296875,449 x 464,RGB,F2,Training
F3/O1301.jpg,611.8779296875,449 x 464,RGB,F3,Training
F4/f5.jpg,19.6259765625,640 x 480,Grayscale,F4,Training
F4/ct14-26.png,611.8779296875,449 x 464,RGB,F4,Training
F4/T202.jpg,611.8779296875,449 x 464,RGB,F4,Training
F0/a1665.jpg,26.2861328125,640 x 480,Grayscale,F0,Training
F3/ct11-59.png,611.8779296875,449 x 464,RGB,F3,Training
F0/h92.jpg,27.2265625,640 x 480,Grayscale,F0,Training
F1/N4604.jpg,611.8779296875,449 x 464,RGB,F1,Training
F0/a8292.jpg,31.5283203125,640 x 480,Grayscale,F0,Training
F2/U5455.jpg,611.8779296875,449 x 464,RGB,F2,Training
F4/K8697.jpg,23.466796875,640 x 480,Grayscale,F4,Training
F4/i7006.jpg,611.8779296875,449 x 464,RGB,F4,Training
F0/a2240.jpg,24.2392578125,640 x 480,Grayscale,F0,Training
F0/a4468.jpg,29.43359375,640 x 480,Grayscale,F0,Training
F2/T8923.jpg,611.8779296875,449 x 464,RGB,F2,Training
F0/j93.jpg,23.728515625,640 x 480,Grayscale,F0,Training
F0/a8773.jpg,31.9599609375,640 x 480,Grayscale,F0,Training
F4/I4408.jpg,25.3203125,640 x 480,Grayscale,F4,Training
F4/P782.jpg,611.8779296875,449 x 464,RGB,F4,Training
F4/S3969.jpg,611.8779296875,449 x 464,RGB,F4,Training
F0/a5849.jpg,30.0703125,640 x 480,Grayscale,F0,Training
F4/F9564.jpg,29.1552734375,640 x 480,Grayscale,F4,Training
F1/ct2-22.png,611.8779296875,449 x 464,RGB,F1,Training
